,Topic-0,Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8
-2671.778086_3245.402956,45.75463781185561,2202.8249765198966,99.67742820300427,324.44554276730656,595.5713031547328,13.038802742464433,529.6356825834652,0.10933752996579418,873.6469245610423
-2671.778086_3345.402956,104.0612457663094,2466.9294985948422,73.56233759846545,217.5780192470496,1349.7079941184793,53.343286505252614,0.6880522963178344,68.97654262491413,54.35565259303753
-2671.778086_3445.402956,495.19178950946593,3913.20788734512,441.7494888728442,484.55545029550234,2275.4250553215097,286.4842331357119,155.16973201618896,121.53438713052324,120.24119918924706
-2671.778086_3545.402956,548.6919810067975,2503.0839094107546,142.542871551527,428.0216235059745,1302.471990217036,39.74307005971404,1.4325285606939562,187.85830750401604,32.71291830773334
-2671.778086_3645.402956,715.0392429635972,2497.1316612550286,179.32190747396334,64.73895067811064,765.983941953411,24.336582030480912,1.1086620801367435,349.2504201467945,171.5572111541471
-2671.778086_3745.402956,319.7513151158341,1603.777091384987,104.14331926074112,63.80072254263799,991.159624226367,44.806543904283515,39.0120623593266,330.2059134804051,85.82663228739216
-2671.778086_3845.402956,969.2194427290194,2711.8597793136437,16.775271711387376,476.2344218058816,412.7517599635045,34.6247119014289,0.947918806607229,252.3554267174738,415.615703227596
-2671.778086_3945.402956,156.1370684617582,1180.9282530022576,60.695881399746256,236.68975336381374,219.34528281531306,762.4071409178139,84.68681909879325,219.68289102406644,204.80364992745592
-2671.778086_4045.402956,14.33499711896533,764.4446573631699,17.910190241893723,35.76671844220856,0.25671481535267726,2941.6376223669736,0.2460639299412577,0.1049824925232573,2.991118645512352
-2671.778086_4145.402956,0.2003697164057691,808.2204056749639,36.402144942941476,0.2401238029608155,0.257359516317027,3128.2133704162934,82.05627259024702,0.10499371188481307,11.99802077634772
-2671.778086_4245.402956,0.1988442540684122,2163.329653172,19.561769836200348,0.23970121679672943,0.2560577323066715,54.25911626827006,258.8429259216446,0.10498884400141652,37.900002789067784
-2771.778086_2745.402956,1288.7909487446796,916.7140040452689,0.44116871312068184,348.2357864364693,704.6742309109575,50.10459551229246,63.68588257858097,60.826199893893516,116.36346396725878
-2771.778086_2845.402956,870.4930369670916,3595.5601320819096,0.44385381711857275,318.8243206156198,168.75576864540236,131.96191591453075,0.3429606550173109,55.357773366840384,167.78354917370447
-2771.778086_2945.402956,444.5256724792976,6963.730004426716,43.85948992151223,158.38682226124723,262.8117126780829,151.56153532596844,145.7808365303376,0.1093321260690177,572.5172185257744
-2771.778086_3045.402956,148.1359606715816,3701.7167900340814,0.44279634994100275,551.9631374806366,2512.145756123867,66.42568653706351,0.34483059307932584,0.10932525296218068,146.99833269269536
-2771.778086_3145.402956,10.126431209741064,1821.6774367379487,24.300393743093032,497.4966797661787,2851.148544710358,25.778452393513568,402.861971378199,0.10933039318625447,272.205390262573
-2771.778086_3245.402956,125.34456980798105,1819.1616778158668,377.6703363560848,360.080310857925,3995.176418154052,63.28926572215575,30.13419788428024,12.58000214820346,71.34075797732213
-2771.778086_3345.402956,367.32661401939714,2789.1028558330295,48.721642530580844,133.28424216753135,2061.127122684487,31.214071789478776,17.16823080864558,195.52259288930355,611.7744466282041
