,0,1,2,3,4,5,6,7,8,9,10,11
-1971.778086_3745.402956,0.42076728629026267,0.018174740973407825,0.11042797899220717,0.004114433902807227,0.1998832636987736,0.004968656156288846,6.949784000825537e-05,0.19294243474958866,0.00010689327901662222,6.824047364457264e-05,0.023824925103417632,0.024651648540576904
-1971.778086_3845.402956,0.18178449107869948,0.04961949658355983,0.02654079725634743,0.3649125671331775,0.04719568079827142,0.12741137037493755,6.539953822143076e-05,0.12979259034801457,5.808291624648572e-05,0.0020873669987596043,0.04098261815958829,0.029549538814176445
-1971.778086_3945.402956,0.3088597899584986,0.04277430502719973,0.0245527645066998,0.002050592410081571,0.08947280041336887,0.06459915152153738,0.010019591763604061,0.3329725495033595,6.463267585779052e-05,0.052762165905008054,0.0029938733797980357,0.06887778293498668
-1971.778086_4045.402956,0.02846370691027169,0.02044711241547597,0.09474124020977884,0.21931130093340867,0.06679928921145484,0.04054906376015323,0.0144155411396946,0.454948839695096,0.0007937900040036604,0.017731032049916558,0.04121598559627937,0.0005830980744666135
-1971.778086_4145.402956,0.03500094810003481,0.02127553428151559,0.0692998413486246,0.3108096617255152,0.0014036521751756674,0.0902682404062628,0.013727474168540928,0.1826265837126122,8.550441078081065e-05,0.05755881199008952,0.16339754619902389,0.05454620148182389
-1971.778086_4245.402956,0.03938685508992069,0.008119345481135215,0.05705099743300683,0.07239118124402676,0.06737808662108463,0.024073315243843135,6.12671237049863e-05,0.42656630306679144,0.002537996997797702,0.2032420788429914,5.0563788895986e-05,0.09914200906680137
-2071.778086_2745.402956,0.09230323525966429,0.018699499253586205,0.047115958327403125,0.12403997407252262,0.017565448631765023,0.15385322333237278,0.004664280409205918,0.20297642602044952,9.328568205252584e-05,0.06901275965267499,0.017209725319120364,0.25246618403918275
-2071.778086_2845.402956,0.14551065230601737,0.017260081580785663,0.06543204117845007,0.2371878832852675,0.018829496898002195,0.17512132563581087,0.03946790375089605,0.0777240775929849,0.0015879893930660829,0.06482459412095974,0.11625019490115462,0.04080375935660516
-2071.778086_2945.402956,0.22181025402853313,0.004614738349435392,0.11030670724282418,0.30204928527760244,0.003129121629288828,0.05551888153368349,0.015935968938311115,0.005736851346902811,0.0027192166202957314,0.017327449481860917,0.10769990511324,0.15315162043802202
-2071.778086_3045.402956,0.18549101816177863,0.03810482566809172,0.020433412481376343,0.11632825072799302,0.02149982084116319,0.050692825275664904,0.011112576929899039,0.09648492848060601,0.01945328943067671,0.10031839536901571,0.010402085506902942,0.32967857112683174
-2071.778086_3145.402956,0.13756573232377334,0.0011605999472582978,0.04991119849369495,0.27992740634448304,0.10194460875391884,0.08418278311782446,0.004319332931860795,0.04482132118911205,5.8983806407902125e-05,0.06177967577913588,0.17457256080431893,0.05975579650821162
-2071.778086_3245.402956,0.2702024620439438,0.03371821198847266,0.174652921316747,0.02804968938266541,0.05357722675503011,0.00027824546453713,0.01570396212703643,0.02048522634502118,6.802895736311265e-05,0.0245590649164488,0.09733892141899023,0.2813660392837442
-2071.778086_3345.402956,0.28360802445548094,0.03930466175168682,0.2738560189477166,0.10644729355164541,0.016657236774106014,0.00024715470415282917,0.06680591197545903,0.017520548109222395,9.685371168134404e-05,0.08696839392313346,0.0068590079495564876,0.10162889414615858
